Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
42,406.0,0.0,1436.0,42.0,24.0,1436.0,0.001212071021915845,-30.76414673665361,-30.76414673665361,1.0,20.75018620491028,,,,0.468837343480276,0.3946566847762696,1.8967695236206055,0.09405183792114258,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,5.885089,3.3980758,15.648712,2.3802726,-27.766944014219984,12.099496181987917,-4.499571818574232,-44.18330530968027,,,,,,,,,,,,,,,,,,,,,3.9565303,2.8789234,7.635208,-0.17829707,4.959696528009027,2.0015627248836694,7.181337434310788,-7.987787870090886,0.3044390672167532,0.9320251882056221,1.272517932488848,-1.2023945049475382
43,429.0,0.0,1459.0,43.0,23.0,1459.0,-0.006577595385677953,-24.079177529086973,-24.079177529086973,1.0,21.56685447692871,,,,0.5535202520814809,0.2880842267121255,1.4879214763641357,0.10654723644256592,9.999999999999999e-05,1.3552527156068805e-20,0.0001,0.0001,6.043282,1.9429095,10.1770525,3.1407619,-22.21503950823143,12.605143835376653,0.07816980002095253,-40.22543581571734,,,,,,,,,,,,,,,,,,,,,2.9436507,3.210032,6.852474,-2.654881,4.950470529134853,2.269110150872813,7.229304343719358,-8.063360595029279,0.26488319733710985,0.9518989438631514,1.2255427194736983,-1.1470387868303242
44,452.0,0.0,1482.0,44.0,23.0,1482.0,-0.016346288905189865,-28.686846942878045,-28.686846942878045,1.0,22.426568508148193,,,,0.6366391236131842,0.23656579808980954,1.2103381156921387,0.2681313455104828,9.999999999999999e-05,1.3552527156068805e-20,0.0001,0.0001,8.753264,2.9778893,17.992857,5.373377,-24.464357959071805,14.145083562176657,-0.05440920837112628,-43.12410213461642,,,,,,,,,,,,,,,,,,,,,6.60607,2.1037128,9.629684,3.0667415,4.928253577805035,2.367154805582414,7.2402311443323,-8.160382473390982,0.11066714066980221,0.9867996276969699,1.1592168900183524,-1.203386156393075
45,476.0,0.0,1506.0,45.0,24.0,1506.0,-0.0034475672863552888,-31.97048746232086,-31.97048746232086,0.0,23.42251181602478,,,,0.837792105000952,0.6794336352488113,3.1701855659484863,0.2813144326210022,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,9.988,4.8740625,22.279686,2.5493515,-25.347175264194675,15.21306998469946,0.08386517665186943,-44.33057485576112,,,,,,,,,,,,,,,,,,,,,3.6199992,3.7909672,9.08552,-3.2685857,4.978175538892333,2.399525393873163,7.3685933224217735,-7.815031498043609,0.1220903833155575,0.9891906902873098,1.1820873123246953,-1.1780530654993289
46,500.0,0.0,1530.0,46.0,24.0,1530.0,-0.019469305641620402,-33.3252937841211,-33.3252937841211,1.0,24.659695148468018,-60.61713182445503,-60.61713182445503,0.0,3.8694299718608027,2.4094030707440828,12.384879112243652,1.3062551021575928,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,40.89446,20.48676,84.2962,11.3663435,-27.462757875173015,15.603865579158578,-0.2147833219873263,-46.2842756462166,,,,,,,,,,,,,,,,,,,,,4.17221,5.62797,15.990621,-3.7438278,7.513073237092697,4.463503462589093,11.609331941814675,-13.547233026532954,0.17450348972938456,0.9598114548170719,1.189786786151851,-1.298873291248515
47,524.0,0.0,1554.0,47.0,24.0,1554.0,-0.019038156795356368,-32.326699265513575,-32.326699265513575,1.0,25.672993183135986,,,,1.6609080148779827,0.9170749390077226,5.110664367675781,0.7498260736465454,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,18.95783,7.820485,44.985554,7.9259987,-31.643459403600744,12.226256927134676,-1.6650178071228412,-45.51096948324419,,,,,,,,,,,,,,,,,,,,,4.3316264,6.378202,14.246134,-6.422982,7.521097350456404,4.497502446212523,11.889113043946676,-13.670632279424495,0.1759581708373599,0.9566969570203524,1.2520407570331642,-1.201660334812725
48,548.0,0.0,1578.0,48.0,24.0,1578.0,0.01052106981166566,-20.331380844031685,-20.331380844031685,1.0,26.565735816955566,,,,1.1706057475960774,0.5991119112553188,3.2446374893188477,0.4813615679740906,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,11.032234,3.1425455,19.852577,7.3158174,-20.140150024735274,10.565348430097293,-0.5815337415051278,-35.109373279975465,,,,,,,,,,,,,,,,,,,,,3.6485503,5.649364,11.887846,-6.9708624,7.621977895344928,4.364456738764418,11.948586157960348,-13.7062800817774,0.16979795786605115,0.9757134212587207,1.2472176646735202,-1.1625990531863615
49,573.0,0.0,1603.0,49.0,25.0,1603.0,0.009319906598170655,-24.223496195384982,-24.223496195384982,1.0,27.514276027679443,,,,1.2911124726136525,0.46524365207978974,2.2096211910247803,0.6376849412918091,0.0001,0.0,0.0001,0.0001,14.753064,5.4962435,27.964706,6.8240657,-24.709068959478042,9.31709432679412,-5.12009478392301,-40.12865264685084,,,,,,,,,,,,,,,,,,,,,3.1811328,5.2954235,10.596981,-6.7784147,7.617855829011788,4.575433193961692,12.039344138943122,-13.836343529729671,0.0983593107315836,0.9917208007927885,1.2058417625620046,-1.2206332973954535
50,597.0,0.0,1627.0,50.0,24.0,1627.0,0.015387391041701743,2.0884751874694008,2.0884751874694008,0.0,28.45650601387024,,,,1.0860782861709595,0.47941145933046225,2.331523895263672,0.4590071439743042,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,12.624286,3.9067304,20.633434,6.8332987,-7.4433356163413675,6.1661010031148304,3.914015894334686,-16.94547578691353,,,,,,,,,,,,,,,,,,,,,2.625306,6.3955812,11.097957,-7.4623175,7.583677459107368,4.588090070151983,12.097308521114751,-13.205701540630741,0.036333818732934314,0.9890020952447522,1.2668357356406275,-1.1964447519472219
51,621.0,0.0,1651.0,51.0,24.0,1651.0,0.004795430329413257,12.884993885573387,12.884993885573387,1.0,29.54926323890686,,,,1.2890477180480957,0.5011279098169265,2.631532669067383,0.6812872886657715,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,16.43637,4.406473,26.066,9.480089,2.6633902294916383,4.638566659027278,12.369474980298376,-3.6021705952676046,,,,,,,,,,,,,,,,,,,,,4.094219,4.5787945,11.763649,-2.793878,7.470749789035806,4.850200582965519,12.179646758877205,-13.787894042124641,-0.009044960011540216,0.9858764678392076,1.1731707303685102,-1.1293399818910965
